בקצרה,Paper,Dataset,Main Research Question,Why Related,Artifacts Used,Artifacts Created,Insights,Dataset Metadata
"Morables הוא בנצ׳מארק שבודק האם מודלים יכולים להבין מוסר השכל במשלים, ולא רק להתאים תבניות שטחיות. בודקים הבנה דרך שאלות אמריקאיות. הראו שהמודלים עדיין נכשלים בהבנה עמוקה ומסתמכים על מילים דומות.","MORABLES: A Benchmark for Assessing Abstract Moral Reasoning in LLMs with Fables (Marcuzzo et al., EMNLP 2025)
https://aclanthology.org/2025.emnlp-main.1411/",MORABLES https://huggingface.co/datasets/cardiffnlp/Morables,Can LLMs perform abstract moral reasoning with fables beyond superficial pattern matching?,"Uses fables with morals, tests moral inference via MCQ with adversarial distractors. We can extends this to retrieval evaluation.","709 fables from historical literature, human-annotated morals with carefully designed distractors","Benchmark dataset with adversarial variants, evaluation scripts for moral inference","LLMs rely on superficial patterns, show self-contradiction across framings. MCQ classification doesn't test embedding-level representation.",
"STORAL הוא דאטה סט בסינית ואנגלית שמצמד סיפורים למשפטי מוסר השכל, עם משימות כמו יצירת סיפור ממוסר השכל או בחירת המוסר השכל הנכון. יש שם זוגות של סיפור + מוסר השכל. הם התמקדו ב Generation אבל לא Retrieval.","A Corpus for Understanding and Generating Moral Stories (Guan et al., NAACL 2022)
https://aclanthology.org/2022.naacl-main.374/","STORAL (Chinese & English)
https://github.com/thu-coai/MoralStory","Can models bridge story plots and implied morals, and generate stories from morals?","Bilingual dataset explicitly pairing stories with moral sentences. Defines story↔moral tasks (comprehension, preference, generation). Closest precedent for pairing structure.",Human-written moral stories with explicit moral sentences (Chinese & English),"Dataset with 4 tasks: moCpt (moral choice), moPref (moral preference), ST2MO (story→moral), MO2ST (moral→story)","Evaluation is discrete (MCQ/generation), not embedding retrieval. Uses retrieval-augmented generation internally but doesn't evaluate retrieval alignment itself.",
"כאן בדקו האם מודלים מבינים פתגמים בתוך סיפורים, תוך שימוש במילים שונות לגמרי שאין להן הרבה overlap. הם מסבירים איך אפשר לייצר דאטהסט קשה יותר, שאי אפשר לפתור את המשימה סתם ע״י חיפוש מילים משותפות. לכן המודלים צריכים להבין את הרעיון המופשט ולא את המילים.","ePiC: Employing Proverbs in Context as a Benchmark for Abstract Language Understanding (ACL 2022)
https://aclanthology.org/2022.acl-long.276/","ePiC
https://github.com/thunlp/ePiC (inferred)",Can models understand and recommend proverbs in narrative contexts with minimal lexical overlap?,Uses abstract expressions (proverbs) ↔ narratives with retrieval-style tasks (proverb recommendation). Methodological model for low-overlap design and hard distractors.,"Crowdsourced narratives illustrating proverbs, fine-grained span alignments","Proverb recommendation task, alignment prediction, narrative generation, similar motif identification",Focuses on short proverbs vs. full parables. Shows importance of minimal lexical overlap to avoid surface matching. Recommendation task is retrieval-adjacent.,
"כאן יש סיפורים על סיטואציות חברתיות ויומיומיות שונות, מראים את יכולת המודל להבין סיבתיות מוסרית. ","Moral Stories: Situated Reasoning about Norms, Intents, Actions, and their Consequences (Emelin et al., EMNLP 2021)
https://aclanthology.org/2021.emnlp-main.54/","Moral Stories
https://github.com/demelin/moral_stories","Can models reason about social norms, intentions, actions, and moral consequences in everyday situations?",Demonstrates narrative moral reasoning as important LM capability. Provides methodological inspiration for norm annotation and consequence reasoning.,12k structured narratives about everyday social situations with norm/action/consequence annotations,"Tasks for action generation under moral constraints, consequence prediction, norm explanation","Focuses on grounded, goal-oriented social reasoning rather than canonical parables. Shows importance of testing reasoning vs. shallow heuristics.",
דאטה של 3 מיליון משלים שנוצרו באופן סינתטי לאימון של מודלי AI.,"TF1-EN-3M: Three Million Synthetic Moral Fables for Training Small, Open Language Models (Nadas et al., 2025)
https://arxiv.org/abs/2504.20605","TF1-EN-3M
https://huggingface.co/datasets/tinyFactory/TF1-EN-3M (inferred)",Can large-scale synthetic fables improve narrative and moral reasoning in smaller models?,Potential pretraining/fine-tuning resource for improving parable-moral retrieval. Shows scalability of synthetic moral narrative generation.,3M synthetic English fables generated by instruction-tuned models with structured schema,"Generation code, evaluation scripts, metadata for character/trait/conflict/moral structure","Synthetic, genre-constrained by template. Your benchmark needs human-written, culturally grounded parables to avoid evaluating on synthetic data from related models.",
תרגום והתאמה של דאטהסט של משלים לתרבות הצרפתית. מראים שאי אפשר סתם לתרגם וצריך התאמה תרבותית כזו או אחרת. ,"Histoires Morales: A French Dataset for Assessing Moral Alignment (2025)
https://arxiv.org/abs/2501.17117",Histoires Morales (French),How do moral reasoning benchmarks need to be adapted for different cultural and linguistic contexts?,Shows concrete example of cultural adaptation of moral narrative dataset. Relevant if extending to Hebrew/multilingual parables.,"French translation of Moral Stories, refined by native speakers for cultural context",French moral stories with value annotations aligned to French cultural norms,Cultural adaptation matters for moral reasoning. Provides model for cross-cultural/multilingual parable work.,
"דאטהסט שמטרתו לחקור בצורה שיטתית איך בני אדם (ומודלי שפה) מבצעים שיקול מוסרי בשפות ותרבויות שונות. מאחד דילמות מוסריות ממחקר פסיכולוגי ומרשתות חברתיות, ומוסיף להן תיוגים כמו: מהי פעולת הבחירה, איזה עיקרון אתי עומד מאחוריה, אילו גורמים השפיעו על ההחלטה, ומהן ההשלכות, יחד עם פרופיל מוסרי ותרבותי. מכסה שש שפות (ערבית, סינית, אנגלית, הינדי, רוסית וספרדית) כדי ללכוד הקשרים סוציותרבותיים שונים.","UniMoral: Are Rules Meant to be Broken? Understanding Multilingual Moral Reasoning as a Computational Pipeline (2025)
https://arxiv.org/abs/2502.14083",UniMoral (6 languages),How does moral reasoning vary across languages and cultural contexts in structured dilemma scenarios?,"Unified multilingual moral reasoning dataset with rich annotation. Provides evaluation framework dimensions (principles, robustness, consistency) applicable to parable benchmarks.","Moral dilemmas across 6 languages with ethical principles, factors, consequences, cultural profiles","Tasks for action prediction, moral typology classification, factor attribution, consequence generation","More about explicit dilemmas than parables, but provides rigorous multi-dimensional evaluation framework for moral reasoning.",
"המאמר מציג מערכת מדידה חדשה ל״אתי­קה״ של LLMs, עם בנצ׳מארק תלת מימדי שמנסה למדוד עד כמה המודל באמת עושה שיקול מוסרי דומה לבני אדם, ולא רק נמנע מתוכן מזיק.","LLM Ethics Benchmark: A Three-Dimensional Assessment System for Evaluating Moral Reasoning in LLMs (Jiao et al., 2025)
https://pmc.ncbi.nlm.nih.gov/articles/PMC12497880/",LLM Ethics Benchmark,"How can we comprehensively evaluate moral reasoning across foundational principles, robustness, and value consistency?","Provides evaluation framework (3D: principles, robustness, consistency) that can be adapted for parable-moral retrieval analysis.",Benchmark datasets covering multiple moral reasoning dimensions,Three-dimensional evaluation framework and code,Shows importance of multi-dimensional moral reasoning evaluation beyond single-task accuracy.,
"דאטהסט גדול (10,580 זוגות שאלה־תשובה מ־278 סיפורי אגדות קלאסיים) המיועד לבדיקת הבנת נרטיבים אצל ילדים ומודלי שפה.","FairytaleQA: Fantastic Questions and Where to Find Them (Xu et al., ACL 2022)
https://aclanthology.org/2022.acl-long.34.pdf","FairytaleQA
https://github.com/uci-soe/FairytaleQAData",Can models perform fine-grained narrative comprehension on children's stories?,Shows methodology for designing QA tasks over narrative texts. Less focused on morals but useful for potential QA-style probes on parables.,278 children's stories with expert-authored QA pairs,"Question-answer pairs targeting plot, character, causal reasoning skills",Demonstrates narrative comprehension evaluation. Could inspire additional parable understanding tasks beyond retrieval.,
"דאטהסט של 2,830 פתגמים נפאליים (שפה low resource), שמשמש לבנצ'מארק לבדיקת יכולות הבנת שפה ב LLMs.","Probing the Limits of Multilingual Language Understanding: Low-Resource Language Proverbs as LLM Benchmark for AI Wisdom (CODI 2025)
https://aclanthology.org/2025.codi-1.11/",PRONE (Nepali Proverbs),"Can LLMs understand proverbs in low-resource languages, testing true 'wisdom' vs. memorization?","Confirms 'wisdom expressions' benchmarks (proverbs, sayings) are emerging niche. Shows proverb understanding evaluation in specific cultural/linguistic context.","2,830 Nepali proverbs with thematic categories",MCQ tasks for meaning selection and thematic categorization,"Uses classification/MCQ, not retrieval. Shows importance of cultural/linguistic diversity in moral wisdom benchmarks.",