model_alias,model_id,experiment_id,run_id,status,training_data,n_train,train_doc_mode,eval_doc_mode,corpus_config,summary_generator,summary_prompt_variant,folds,epochs,batch_size,gradient_accumulation_steps,learning_rate,temperature,max_seq_length,lora_r,lora_alpha,lora_dropout,fn_mask_threshold,hard_negative_config,query_instruction_variant_original,query_instruction_text,old_eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,can_recalculate_from_artifact,needs_eval_rerun,needs_cluster_aware_retrain,needs_training_rerun,next_action,notes,source_file
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_00,baseline_before_overfit,completed,MORABLES same-data sanity,709,raw,raw,raw,,,none,30,64,1,2e-05,,,,,,,,no_instr,,709,0.063400,0.031030,0.081805,0.112835,model_and_embeddings_local,yes_diagnostic,no,no,no,Do not use as benchmark; sanity only.,Baseline before intentional overfit sanity check.,finetuning/ft_00_overfit/results/2026-04-06_12-43-03_raw.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_00,trained_overfit_same_709,completed,MORABLES same-data sanity,709,raw,raw,raw,,,none,30,64,1,2e-05,,,,,,,,no_instr,,709,0.973554,0.949224,1.000000,1.000000,model_and_embeddings_local,yes_diagnostic,no,no,no,Do not use as benchmark; sanity only.,Intentional same-data overfit sanity check; not a valid benchmark result.,finetuning/ft_00_overfit/results/2026-04-06_12-43-03_raw.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_01,2026-04-06_14-25-34_raw_all_folds,completed,MORABLES,709,raw,raw,raw,,,5,30,32,1,2e-05,,,,,,,,no_instr,,709,0.122500,0.067701,0.157969,0.221439,fold_models_and_embeddings_local,partial_old_folds_only,yes,yes,yes_for_official_clustered_cv,Use as BGE control only if we rerun cluster-aware folds.,,finetuning/ft_01_5fold_cv/results/2026-04-06_14-25-34_raw_all_folds.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_0_fold0,completed_fold0,MORABLES+STORAL_0,fold_train_plus_0,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.277371,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_1000_fold0,completed_fold0,MORABLES+STORAL_1000,fold_train_plus_1000,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.273979,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_1675_fold0,completed_fold0,MORABLES+STORAL_1675,fold_train_plus_1675,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.273961,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_200_fold0,completed_fold0,MORABLES+STORAL_200,fold_train_plus_200,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.287210,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_500_fold0,completed_fold0,MORABLES+STORAL_500,fold_train_plus_500,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.277694,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-49-00_bge_s1000__fable_plus_summary,completed,STORAL_s1000,1000,STORAL_stories,fable_plus_summary,fable_plus_summary,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.255840,0.166432,0.354020,0.431594,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[30, 300]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-49-00_bge_s1000.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-49-00_bge_s1000__raw,completed,STORAL_s1000,1000,STORAL_stories,raw,raw,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.145982,0.086037,0.187588,0.252468,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[30, 300]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-49-00_bge_s1000.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-46-38_bge_s500__fable_plus_summary,completed,STORAL_s500,500,STORAL_stories,fable_plus_summary,fable_plus_summary,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.255038,0.170663,0.345557,0.433004,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[56, 195]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-46-38_bge_s500.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-46-38_bge_s500__raw,completed,STORAL_s500,500,STORAL_stories,raw,raw,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.127279,0.063470,0.177715,0.249647,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[56, 195]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-46-38_bge_s500.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-52-50_bge_sfull__fable_plus_summary,completed,STORAL_sfull,1675,STORAL_stories,fable_plus_summary,fable_plus_summary,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.260304,0.172073,0.351199,0.417489,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,length_range=None; external STORAL transfer.,finetuning/ft_07_storal_transfer/results/2026-04-29_09-52-50_bge_sfull.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-52-50_bge_sfull__raw,completed,STORAL_sfull,1675,STORAL_stories,raw,raw,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.149021,0.090268,0.194640,0.258110,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,length_range=None; external STORAL transfer.,finetuning/ft_07_storal_transfer/results/2026-04-29_09-52-50_bge_sfull.json
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemini/conceptual_abstract/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.233100,0.149500,0.314500,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2636; delta=-0.0305; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemini/cot_proverb/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/cot_proverb/fable+summary,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.230900,0.148100,0.307500,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2574; delta=-0.0265; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemini/direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/direct_moral/fable+summary,gemini,direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.229000,0.143900,0.315900,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2494; delta=-0.0204; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-31B/conceptual_abstract/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-E2B/direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-E4B/thinking_direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemini/conceptual_abstract/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.256000,0.172100,0.328600,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2636; delta=-0.0076; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemini/cot_proverb/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/cot_proverb/fable+summary,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.252100,0.170700,0.332900,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2574; delta=-0.0053; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemini/direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemini/direct_moral/fable+summary,gemini,direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.251200,0.163600,0.339900,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2494; delta=+0.0018; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemma4-31B/conceptual_abstract/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemma4-E2B/direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemma4-E4B/thinking_direct_moral/fable+summary,completed,IdioLink,440,IdioLink_triplets,fable_summary,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__raw,completed,IdioLink,440,IdioLink_triplets,raw,raw,,-,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.080200,0.035300,0.110000,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.0890; delta=-0.0088; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__raw,completed,IdioLink,440,IdioLink_triplets,raw,raw,,-,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.089400,0.050800,0.104400,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.0890; delta=+0.0004; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemini/cot_proverb/summary+fable,completed,IdioLink,440,IdioLink_triplets,summary+fable,gemini/cot_proverb/summary+fable,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.254600,0.162200,0.338500,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2761; delta=-0.0215; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemini/cot_proverb/summary+fable,completed,IdioLink,440,IdioLink_triplets,summary+fable,gemini/cot_proverb/summary+fable,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.264000,0.173500,0.355400,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2761; delta=-0.0121; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemini/cot_proverb/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemini/cot_proverb/summary_only,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.231300,0.159400,0.303200,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2355; delta=-0.0042; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-31B/conceptual_abstract/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-E2B/direct_moral/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_original_results__BGE-M3__gemma4-E4B/thinking_direct_moral/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=original_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_original_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemini/cot_proverb/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemini/cot_proverb/summary_only,gemini,cot_proverb,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,0.232900,0.158000,0.303200,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=0.2355; delta=-0.0026; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
BGE-M3,BAAI/bge-m3,ft_10_option_a,option_a_results__BGE-M3__gemma4-31B/conceptual_abstract/summary_only,completed,IdioLink,440,IdioLink_triplets,summary_only,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,none_external_transfer,10,32,1,2e-05,,512,,,,,,model_default_or_prefix,,709,,,,,csv_metrics_model_incomplete,no,yes,no,no_if_weights_available_else_yes,Do not prioritize unless IdioLink transfer becomes a main comparison.,zero_shot_MRR=; delta=; source column=idiolink_ft_MRR@10,finetuning/ft_10_idiolink_transfer/option_a_zero_shot/results/option_a_results.csv
