timestamp,reranker_alias,reranker_model_id,candidate_k,first_stage_rank,first_stage_model,first_stage_size,first_stage_doc_config,first_stage_summary_generator,first_stage_MAP@10,first_stage_MRR@10,first_stage_NDCG@10,first_stage_Recall@100,reranked_rankings_path,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,1,linq,s1000,conceptual_abstract_fable,gemini,0.4568966249513738,0.5118976492169167,0.5090701399088825,0.9307385229540919,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s1000__conceptual_abstract_fable__gemini__k100.json,0.31499772601109544,0.37113511521305714,0.3588893354545225,0.3965818363273452,0.4933383233532934,0.5648203592814371,0.7875499001996007,0.9307385229540919,0.9532684630738523,0.9761726546906186,0.25449101796407186,0.49101796407185627,0.5868263473053892,0.9535928143712575,29.51197604790419,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,2,linq,s1000,fable_proverb,gemini,0.4477321721823256,0.5006939359978603,0.49964448441778264,0.9057135728542914,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s1000__fable_proverb__gemini__k100.json,0.301169424158385,0.35299851738237414,0.341499063727789,0.3698852295409181,0.46786427145708576,0.5377744510978044,0.7438622754491018,0.9057135728542914,0.9500748502994012,0.975748502994012,0.2559880239520958,0.4491017964071856,0.5538922155688623,0.9341317365269461,33.604790419161674,8.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,3,linq,s500,fable_cot_proverb,gemini,0.4617825533616821,0.5115341236134168,0.5153287328467678,0.9050898203592816,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s500__fable_cot_proverb__gemini__k100.json,0.31581629390486426,0.3634112345539194,0.3600059321956333,0.39645708582834327,0.49623253493013975,0.5475049900199601,0.7497754491017964,0.9050898203592816,0.9480039920159681,0.970883233532934,0.25748502994011974,0.4745508982035928,0.5748502994011976,0.937125748502994,33.037425149700596,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,4,linq,s500,fable_proverb,gemini,0.43783776608459113,0.48853812500924554,0.4896927612596929,0.9015469061876248,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s500__fable_proverb__gemini__k100.json,0.29982007039997366,0.3533405043514422,0.3372245878375535,0.36746506986027944,0.45421656686626743,0.5277195608782435,0.7435379241516965,0.9015469061876248,0.9494011976047905,0.9735528942115768,0.25898203592814373,0.44461077844311375,0.5434131736526946,0.9341317365269461,33.67664670658683,8.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,5,linq,s200,fable_proverb,gemini,0.4317724679713433,0.484298543782962,0.4813966925667257,0.9010229540918165,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s200__fable_proverb__gemini__k100.json,0.30007204642768653,0.3520268123948944,0.3369167190285372,0.36614271457085823,0.4551397205588822,0.5269211576846308,0.7471806387225548,0.9010229540918165,0.9498253493013973,0.9741267465069859,0.25748502994011974,0.44461077844311375,0.5449101796407185,0.9311377245508982,34.4311377245509,8.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,6,linq,s500,conceptual_abstract_fable,gemini,0.44233264436370967,0.5023992143998728,0.502525685722035,0.8927395209580838,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s500__conceptual_abstract_fable__gemini__k100.json,0.30927343302591376,0.3662245287568183,0.35351745565481396,0.37240518962075847,0.4871506986027944,0.5578842315369261,0.7631736526946108,0.8927395209580838,0.943063872255489,0.9702095808383232,0.25449101796407186,0.46407185628742514,0.5793413173652695,0.9296407185628742,33.202095808383234,7.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,7,linq,s200,fable_direct_moral,gemini,0.44089560050318355,0.49442276638014443,0.49431040450020675,0.8920409181636726,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s200__fable_direct_moral__gemini__k100.json,0.3292893533879539,0.3804867411417552,0.37721489411165204,0.4243263473053892,0.5209830339321357,0.5807135728542914,0.7670159680638723,0.8920409181636726,0.9452844311377246,0.9708582834331337,0.2679640718562874,0.5014970059880239,0.6032934131736527,0.9221556886227545,33.8997005988024,5.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,8,linq,s200,fable_cot_proverb,gemini,0.43754944554507774,0.49037884247853736,0.48790793200857097,0.8920409181636726,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s200__fable_cot_proverb__gemini__k100.json,0.3168207179509819,0.3639532462775672,0.36110539420941457,0.39777944111776453,0.4982285429141716,0.5483283433133732,0.7551896207584831,0.8920409181636726,0.9490269461077845,0.9718562874251496,0.26047904191616766,0.47754491017964074,0.5793413173652695,0.9221556886227545,35.03443113772455,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,9,linq,s1000,fable_cot_proverb,gemini,0.4463015219741501,0.4934919739906471,0.49738494045704196,0.8915169660678642,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s1000__fable_cot_proverb__gemini__k100.json,0.3187470933862645,0.36578154263602697,0.3621157234985444,0.39496007984031933,0.49695608782435124,0.550249500998004,0.7578343313373254,0.8915169660678642,0.947005988023952,0.9609031936127744,0.2634730538922156,0.47604790419161674,0.5778443113772455,0.9176646706586826,35.90868263473054,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,10,linq,s200,conceptual_abstract_fable,gemini,0.4268468080317258,0.4869683964708876,0.48378459251887573,0.891367265469062,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s200__conceptual_abstract_fable__gemini__k100.json,0.31560273442337883,0.3716518864952671,0.35946479642332435,0.38849800399201595,0.4914670658682634,0.5572854291417165,0.762375249500998,0.891367265469062,0.9524451097804392,0.9722804391217565,0.26047904191616766,0.47904191616766467,0.5838323353293413,0.9206586826347305,34.07185628742515,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,11,linq,s200,conceptual_abstract_only,gemini,0.37880304499899226,0.4330454196069861,0.42625840158443906,0.8379740518962076,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__linq__s200__conceptual_abstract_only__gemini__k100.json,0.29063353850572426,0.3335824078789163,0.3337300259218419,0.3681137724550898,0.4640219560878243,0.5112025948103792,0.703443113772455,0.8379740518962076,0.9033433133732536,0.9267465069860279,0.218562874251497,0.4550898203592814,0.5523952095808383,0.8772455089820359,48.52994011976048,8.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,12,all_mpnet,s500,conceptual_abstract_fable,gemini,0.30645570535428984,0.3616014329525437,0.35036392386529647,0.8157185628742515,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__all_mpnet__s500__conceptual_abstract_fable__gemini__k100.json,0.30426497454721674,0.3619360455075903,0.34963623255150417,0.37876746506986025,0.47799401197604785,0.5413672654690619,0.7051147704590818,0.8157185628742515,0.8921157684630737,0.9388223552894213,0.25299401197604793,0.47005988023952094,0.5748502994011976,0.8682634730538922,47.032934131736525,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,13,all_mpnet,s200,conceptual_abstract_fable,gemini,0.3058739018961513,0.35829650068998253,0.3540796884286304,0.8030439121756486,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__all_mpnet__s200__conceptual_abstract_fable__gemini__k100.json,0.300376713377218,0.35873177173532395,0.3460028934327963,0.3746756487025948,0.47327844311377243,0.5315369261477045,0.6929890219560878,0.8030439121756486,0.8941866267465068,0.929865269461078,0.25299401197604793,0.46706586826347307,0.5718562874251497,0.8652694610778443,49.08083832335329,7.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,14,all_mpnet,s1000,conceptual_abstract_fable,gemini,0.3074187243699339,0.359548295246318,0.3512416364271345,0.8027445109780439,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__all_mpnet__s1000__conceptual_abstract_fable__gemini__k100.json,0.30526112274603306,0.3617842341498134,0.35125231434356463,0.37984031936127743,0.47986526946107777,0.5336576846307385,0.6986027944111776,0.8027445109780439,0.8906936127744511,0.9308632734530937,0.25449101796407186,0.47155688622754494,0.5763473053892215,0.8622754491017964,49.27095808383233,6.0,668,
2026-05-20_00-21-31,qwen3_reranker_0_6b,Qwen/Qwen3-Reranker-0.6B,100,15,all_mpnet,s1000,fable_direct_moral,gemma4-31B,0.2681097849772114,0.32565437578498424,0.30278041277946494,0.7937874251497006,/media/eimtest/data/lior/ParabeLink/experiments/21_storal_reranking/results/rankings/qwen3_reranker_0_6b__all_mpnet__s1000__fable_direct_moral__gemma4-31B__k100.json,0.2743536497025975,0.33347239036140347,0.3183721413429156,0.35134730538922154,0.44154191616766464,0.4963572854291418,0.6968812375249501,0.7937874251497006,0.870808383233533,0.91187624750499,0.23203592814371257,0.44011976047904194,0.5374251497005988,0.8488023952095808,58.25149700598802,8.0,668,
