rank,selection_metric,selection_score,model_alias,model_id,size,eval_doc_config,summary_generator,MAP@10,MRR@10,NDCG@10,Recall@10,Recall@100,Recall@200,Hit@10,rankings_path,local_rankings_path
1,Recall@100,0.9307385229540919,linq,Linq-AI-Research/Linq-Embed-Mistral,s1000,conceptual_abstract_fable,gemini,0.4568966249513738,0.5118976492169167,0.5090701399088825,0.6520459081836326,0.9307385229540919,0.9532684630738523,0.7305389221556886,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__conceptual_abstract_fable__gemini.json
2,Recall@100,0.9057135728542914,linq,Linq-AI-Research/Linq-Embed-Mistral,s1000,fable_proverb,gemini,0.4477321721823256,0.5006939359978603,0.49964448441778264,0.641192614770459,0.9057135728542914,0.9500748502994012,0.7230538922155688,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__fable_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__fable_proverb__gemini.json
3,Recall@100,0.9050898203592816,linq,Linq-AI-Research/Linq-Embed-Mistral,s500,fable_cot_proverb,gemini,0.4617825533616821,0.5115341236134168,0.5153287328467678,0.6615518962075848,0.9050898203592816,0.9480039920159681,0.7320359281437125,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__fable_cot_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__fable_cot_proverb__gemini.json
4,Recall@100,0.9015469061876248,linq,Linq-AI-Research/Linq-Embed-Mistral,s500,fable_proverb,gemini,0.43783776608459113,0.48853812500924554,0.4896927612596929,0.6340319361277446,0.9015469061876248,0.9494011976047905,0.7005988023952096,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__fable_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__fable_proverb__gemini.json
5,Recall@100,0.9010229540918165,linq,Linq-AI-Research/Linq-Embed-Mistral,s200,fable_proverb,gemini,0.4317724679713433,0.484298543782962,0.4813966925667257,0.6190119760479041,0.9010229540918165,0.9498253493013973,0.6961077844311377,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_proverb__gemini.json
6,Recall@100,0.8927395209580838,linq,Linq-AI-Research/Linq-Embed-Mistral,s500,conceptual_abstract_fable,gemini,0.44233264436370967,0.5023992143998728,0.502525685722035,0.6647205588822355,0.8927395209580838,0.943063872255489,0.7544910179640718,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s500__conceptual_abstract_fable__gemini.json
7,Recall@100,0.8920409181636726,linq,Linq-AI-Research/Linq-Embed-Mistral,s200,fable_direct_moral,gemini,0.44089560050318355,0.49442276638014443,0.49431040450020675,0.641317365269461,0.8920409181636726,0.9452844311377246,0.7200598802395209,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_direct_moral__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_direct_moral__gemini.json
8,Recall@100,0.8920409181636726,linq,Linq-AI-Research/Linq-Embed-Mistral,s200,fable_cot_proverb,gemini,0.43754944554507774,0.49037884247853736,0.48790793200857097,0.625998003992016,0.8920409181636726,0.9490269461077845,0.7020958083832335,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_cot_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__fable_cot_proverb__gemini.json
9,Recall@100,0.8915169660678642,linq,Linq-AI-Research/Linq-Embed-Mistral,s1000,fable_cot_proverb,gemini,0.4463015219741501,0.4934919739906471,0.49738494045704196,0.6426896207584831,0.8915169660678642,0.947005988023952,0.7140718562874252,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__fable_cot_proverb__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s1000__fable_cot_proverb__gemini.json
10,Recall@100,0.891367265469062,linq,Linq-AI-Research/Linq-Embed-Mistral,s200,conceptual_abstract_fable,gemini,0.4268468080317258,0.4869683964708876,0.48378459251887573,0.6379491017964072,0.891367265469062,0.9524451097804392,0.7275449101796407,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__conceptual_abstract_fable__gemini.json
11,Recall@100,0.8379740518962076,linq,Linq-AI-Research/Linq-Embed-Mistral,s200,conceptual_abstract_only,gemini,0.37880304499899226,0.4330454196069861,0.42625840158443906,0.5549151696606787,0.8379740518962076,0.9033433133732536,0.6332335329341318,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__conceptual_abstract_only__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/linq__s200__conceptual_abstract_only__gemini.json
12,Recall@100,0.8157185628742515,all_mpnet,sentence-transformers/all-mpnet-base-v2,s500,conceptual_abstract_fable,gemini,0.30645570535428984,0.3616014329525437,0.35036392386529647,0.48171157684630733,0.8157185628742515,0.8921157684630737,0.5673652694610778,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s500__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s500__conceptual_abstract_fable__gemini.json
13,Recall@100,0.8030439121756486,all_mpnet,sentence-transformers/all-mpnet-base-v2,s200,conceptual_abstract_fable,gemini,0.3058739018961513,0.35829650068998253,0.3540796884286304,0.4951097804391218,0.8030439121756486,0.8941866267465068,0.5853293413173652,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s200__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s200__conceptual_abstract_fable__gemini.json
14,Recall@100,0.8027445109780439,all_mpnet,sentence-transformers/all-mpnet-base-v2,s1000,conceptual_abstract_fable,gemini,0.3074187243699339,0.359548295246318,0.3512416364271345,0.47971556886227545,0.8027445109780439,0.8906936127744511,0.5643712574850299,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s1000__conceptual_abstract_fable__gemini.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s1000__conceptual_abstract_fable__gemini.json
15,Recall@100,0.7937874251497006,all_mpnet,sentence-transformers/all-mpnet-base-v2,s1000,fable_direct_moral,gemma4-31B,0.2681097849772114,0.32565437578498424,0.30278041277946494,0.40818363273453095,0.7937874251497006,0.870808383233533,0.49550898203592814,/media/eimtest/data/lior/ParabeLink/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s1000__fable_direct_moral__gemma4-31B.json,/Users/liorlivyatan/LocalProjects/Thesis/work_morables/finetuning/ft_12_storal_transfer_clustered/results/rankings/all_mpnet__s1000__fable_direct_moral__gemma4-31B.json
