model_alias,model_hf_id,corpus_config,summary_generator,summary_variant,corpus_type,zero_shot_MRR@10,original_ft_MRR@10,delta_MRR,zero_shot_R@1,original_ft_R@1,zero_shot_R@5,original_ft_R@5,zero_shot_NDCG@10,original_ft_NDCG@10
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,raw,none,—,raw,0.2107,0.2093,-0.0014,0.1410,0.1241,0.2835,0.2764,0.2371,0.2350
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.3597,0.3672,+0.0075,0.2511,0.2609,0.4683,0.4781,0.4029,0.4071
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.3502,0.3547,+0.0045,0.2355,0.2511,0.4824,0.4683,0.3945,0.3945
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.3481,0.3580,+0.0099,0.2341,0.2539,0.4654,0.4626,0.3922,0.4005
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.3031,0.3056,+0.0025,0.2102,0.2102,0.4006,0.4104,0.3391,0.3433
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.3499,0.3517,+0.0018,0.2370,0.2384,0.4683,0.4711,0.3939,0.3904
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,0.2212,n/a (summaries not pulled),,0.1396,,0.2849,,0.2483,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,0.1411,n/a (summaries not pulled),,0.0790,,0.1989,,0.1609,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,0.2502,n/a (summaries not pulled),,0.1580,,0.3540,,0.2821,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,0.2306,n/a (summaries not pulled),,0.1509,,0.3117,,0.2572,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,0.3015,n/a (summaries not pulled),,0.2003,,0.4104,,0.3386,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,0.2619,n/a (summaries not pulled),,0.1749,,0.3512,,0.2909,
BGE-en-ICL,BAAI/bge-en-icl,raw,none,—,raw,0.1659,,,0.1100,,0.2144,,0.1820,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.3184,,,0.2228,,0.4090,,0.3499,
BGE-en-ICL,BAAI/bge-en-icl,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.3212,,,0.2214,,0.4316,,0.3590,
BGE-en-ICL,BAAI/bge-en-icl,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.3235,,,0.2243,,0.4189,,0.3551,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2963,,,0.2073,,0.3935,,0.3296,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.3002,,,0.2059,,0.3935,,0.3401,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,raw,none,—,raw,0.1800,,,0.1100,,0.2355,,0.2032,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.3283,,,0.2158,,0.4499,,0.3697,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.3328,,,0.2243,,0.4401,,0.3728,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.3461,,,0.2341,,0.4725,,0.3855,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2956,,,0.2017,,0.4006,,0.3291,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.3625,,,0.2553,,0.4838,,0.4058,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,0.2254,,,0.1396,,0.3117,,0.2553,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,0.1593,,,0.0931,,0.2186,,0.1792,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,0.2963,,,0.2017,,0.3963,,0.3276,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,0.2320,,,0.1439,,0.3159,,0.2617,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,0.3035,,,0.1989,,0.4189,,0.3415,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,0.2673,,,0.1749,,0.3667,,0.3018,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,raw,none,—,raw,0.1053,,,0.0564,,0.1382,,0.1139,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2634,,,0.1608,,0.3879,,0.2977,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2827,,,0.1848,,0.3893,,0.3174,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2935,,,0.1932,,0.3977,,0.3268,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2489,,,0.1707,,0.3216,,0.2735,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2874,,,0.1890,,0.3865,,0.3210,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,raw,none,—,raw,0.0933,,,0.0536,,0.1241,,0.0991,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2147,,,0.1410,,0.2920,,0.2412,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2226,,,0.1453,,0.2920,,0.2460,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2295,,,0.1495,,0.3131,,0.2550,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2414,,,0.1707,,0.3145,,0.2635,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2795,,,0.1975,,0.3625,,0.3091,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
Multilingual-E5-large,intfloat/multilingual-e5-large,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,raw,none,—,raw,0.0901,,,0.0437,,0.1227,,0.1006,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2516,,,0.1791,,0.3244,,0.2779,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2540,,,0.1735,,0.3343,,0.2865,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2530,,,0.1608,,0.3512,,0.2840,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2704,,,0.1946,,0.3300,,0.2971,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2788,,,0.1876,,0.3738,,0.3133,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
Multilingual-E5-large-instruct,intfloat/multilingual-e5-large-instruct,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
BGE-M3,BAAI/bge-m3,raw,none,—,raw,0.0890,0.0802,-0.0088,0.0480,0.0353,0.1058,0.1100,0.0971,0.0871
BGE-M3,BAAI/bge-m3,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2574,0.2309,-0.0265,0.1749,0.1481,0.3385,0.3075,0.2838,0.2605
BGE-M3,BAAI/bge-m3,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2494,0.2290,-0.0204,0.1580,0.1439,0.3441,0.3159,0.2820,0.2603
BGE-M3,BAAI/bge-m3,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2636,0.2331,-0.0305,0.1777,0.1495,0.3441,0.3145,0.2915,0.2606
BGE-M3,BAAI/bge-m3,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2355,0.2313,-0.0042,0.1580,0.1594,0.3103,0.3032,0.2546,0.2492
BGE-M3,BAAI/bge-m3,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2761,0.2546,-0.0215,0.1918,0.1622,0.3583,0.3385,0.3036,0.2857
BGE-M3,BAAI/bge-m3,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,n/a (summaries not pulled),,,,,,,
BGE-M3,BAAI/bge-m3,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,n/a (summaries not pulled),,,,,,,
BGE-M3,BAAI/bge-m3,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,n/a (summaries not pulled),,,,,,,
BGE-M3,BAAI/bge-m3,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,n/a (summaries not pulled),,,,,,,
BGE-M3,BAAI/bge-m3,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,n/a (summaries not pulled),,,,,,,
BGE-M3,BAAI/bge-m3,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,n/a (summaries not pulled),,,,,,,
E5-base-v2,intfloat/e5-base-v2,raw,none,—,raw,0.0867,,,0.0494,,0.1072,,0.0908,
E5-base-v2,intfloat/e5-base-v2,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.1744,,,0.1114,,0.2327,,0.1967,
E5-base-v2,intfloat/e5-base-v2,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.1788,,,0.1086,,0.2440,,0.1982,
E5-base-v2,intfloat/e5-base-v2,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.1866,,,0.1227,,0.2454,,0.2064,
E5-base-v2,intfloat/e5-base-v2,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2265,,,0.1622,,0.2807,,0.2436,
E5-base-v2,intfloat/e5-base-v2,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2549,,,0.1735,,0.3413,,0.2842,
E5-base-v2,intfloat/e5-base-v2,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
E5-base-v2,intfloat/e5-base-v2,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
E5-base-v2,intfloat/e5-base-v2,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
E5-base-v2,intfloat/e5-base-v2,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
E5-base-v2,intfloat/e5-base-v2,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
E5-base-v2,intfloat/e5-base-v2,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,raw,none,—,raw,0.0825,,,0.0409,,0.1114,,0.0896,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2206,,,0.1453,,0.2863,,0.2446,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2192,,,0.1368,,0.2990,,0.2430,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2257,,,0.1467,,0.2976,,0.2477,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2362,,,0.1594,,0.3089,,0.2590,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2524,,,0.1721,,0.3272,,0.2757,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
Nomic-Embed-v2-MoE,nomic-ai/nomic-embed-text-v2-moe,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
Instructor-base,hkunlp/instructor-base,raw,none,—,raw,0.0853,,,0.0451,,0.1058,,0.0956,
Instructor-base,hkunlp/instructor-base,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.2204,,,0.1410,,0.2962,,0.2450,
Instructor-base,hkunlp/instructor-base,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.2180,,,0.1340,,0.3018,,0.2457,
Instructor-base,hkunlp/instructor-base,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.2328,,,0.1439,,0.3300,,0.2632,
Instructor-base,hkunlp/instructor-base,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2423,,,0.1678,,0.3089,,0.2637,
Instructor-base,hkunlp/instructor-base,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.2366,,,0.1509,,0.3188,,0.2637,
Instructor-base,hkunlp/instructor-base,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
Instructor-base,hkunlp/instructor-base,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,,,,,,,,,
Instructor-base,hkunlp/instructor-base,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,,,,,,,,,
Instructor-base,hkunlp/instructor-base,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,,,,,,,,,
Instructor-base,hkunlp/instructor-base,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,,,,,,,,,
Instructor-base,hkunlp/instructor-base,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,,,,,,,,,
