combo,fable_0,fable_1,fable_2,fable_3,fable_10,fable_25,fable_50,fable_100
FABLE (preview),A slave named Androcles once escaped from his master and fled to the forest. As ...,An Ant nimbly running about in the sunshine in search of food came across a Chry...,"One summer's day a Grasshopper was hopping about, chirping and singing to its he...",A Traveler hired an Ass to convey him to a distant place. The day being intensel...,Two neighbours came before Jupiter and prayed him to grant their hearts' desire....,"A Certain House was overrun with Mice. A Cat, discovering this, made her way int...",One day a countryman going to the nest of his Goose found there an egg all yello...,"A Great City was besieged, and its inhabitants were called together to consider ..."
ground_truth,Gratitude is the sign of noble souls.,Appearances are deceptive.,There's a time for work and a time for play.,In quarreling about the shadow we often lose the substance.,Vices are their own punishment.,He who is once deceived is doubly cautious.,Greed often overreaches itself.,Every man for himself.
---,,,,,,,,
qwen3.5-0.8b / direct,The most important lesson is that kindness and forgiveness are the most powerful weapons in any fight.,The lesson is that true power lies in listening to others rather than trying to dominate them.,The lesson is that we should not waste time on trivial matters when we have the means to achieve something more valuable.,"When two parties claim a shared right to a resource, the one who acts with the intent to harm the other loses the right to the resource.","The lesson is that envy breeds a world of misery, while greed leads to a world of joy.","Even when you are dead, you can still be a threat to your enemies.","The moral of this fable is that greed leads to destruction, and true wealth comes from generosity rather than hoarding.",True strength lies in the spirit of the people rather than in the most expensive or most durable materials available.
qwen3.5-0.8b / detailed,"True friendship transcends the necessity of survival and mutual aid, proving that kindness and compassion are the most powerful tools for survival.","The story illustrates that true wisdom lies in recognizing the inherent value of a creature's potential and the importance of listening to its true nature, rather than dismissing it based on its current limitations or the whims of others.","The story illustrates that true wisdom lies in recognizing the value of immediate sustenance and the importance of collective effort, rather than waiting for the perfect moment to act.","The story illustrates that true ownership belongs to the person who has the right to use the object, not the person who merely possesses it, and that a dispute over a shared resource must be resolved through mutual agreement rather than force.","The story illustrates that true generosity requires the capacity to recognize and accept the value of another's happiness, preventing the destruction of that joy through selfish calculation.","The story illustrates that true courage is not the ability to act against fear, but the wisdom to choose a path that allows one to face the threat without being consumed by it.","The story illustrates that greed is the ultimate trap, for the very act of hoarding wealth creates a new source of desire that leads to the destruction of one's own resources.","True strength in defense is not found in the most abundant or cheapest material, but in the most valuable and durable substance available to the community."
qwen3.5-0.8b / cot,"The fable warns against cruelty and the failure to recognize the true nature of a friend, suggesting that even when a friend is injured or captured, one should not abandon them to harm, but instead should seek their help or compassion.","The story warns against arrogance and the refusal to listen to the needs of others, suggesting that true power and survival depend on humility and the willingness to acknowledge the value of those around you.",The story warns against taking shortcuts to avoid the long-term consequences of neglecting one's own needs.,"The story illustrates that while a person may have the right to use another's property, they must not claim ownership of the owner's own shadow. It warns against the arrogance of claiming exclusive rights over what another has done or is entitled to possess, emphasizing that the owner retains the right to their own shadow even if the traveler hired the Ass to protect it.","The story warns against greed and envy, illustrating that when one person becomes too possessive or jealous, it can destroy the very foundation of their relationship and cause harm to the other.","The story warns against the temptation to deceive or trick others into doing something they cannot do, or to use deception to escape a difficult situation. By pretending to be dead to lure the mice out of their holes, the Cat exploits her own weakness to force them to flee, ultimately leading to her death. This illustrates that relying on deception to overcome obstacles is a dangerous strategy that can result in one's own",The story warns against greed and the desire to exploit others for personal gain.,"The story illustrates that while some materials like wood and bricks are useful for construction, they are insufficient for true defense against an enemy. The main character, the Currier, warns that no material can match the protection offered by hides and leather. Therefore, the moral is that true protection requires the best available resources, and the best material for defense is leather."
qwen3.5-0.8b / few_shot,The slave was pardoned and the Lion was let free.,The Ant's vanity made him forget his true purpose.,Vanity makes us easy prey for flatterers.,The owner's claim of exclusive use of the Shadow outweighed the Traveler's claim of hiring the Shadow.,Avarice and envy are punished by their own greed.,Vanity makes us easy prey for flatterers.,Greed leads to destruction.,A City's defense is better than any material.
qwen3.5-2b / direct,True friendship is stronger than fear and can even save a life.,"The Ant's vain pride in its temporary power blinded it to the Butterfly's greater potential, leading to its own destruction.","Heed the advice of those who prepare for the future, for those who live only for the present will perish when the present ends.",Hiring an animal does not automatically grant you the rights or protections that the animal itself cannot provide.,The pursuit of greed and envy only leads to greater suffering for both the greedy and the envious.,A cat that pretends to be dead to frighten mice will not succeed in capturing them.,The moral is that greed blinds a man to the value of what he seeks.,"The moral is that while practical materials like bricks and timber are useful, the most effective defense against an enemy is often a covering of hides."
qwen3.5-2b / detailed,"True friendship transcends the harsh realities of power and survival, proving that even the most ferocious beasts can recognize and cherish the bonds of loyalty.","True wisdom lies not in the fleeting glory of superficial power, but in the enduring strength of humble service and the courage to endure hardship for the sake of others.","The Grasshopper's carefree enjoyment of the present without planning for the future led to its destruction, illustrating that foresight and preparation are essential for survival.","True ownership of a shadow is impossible because the shadow is merely a reflection of the light it depends upon, and therefore no one can truly possess it.","True contentment requires the ability to accept another's abundance without jealousy, while greed and envy inevitably destroy the very joy they seek.",True wisdom lies in recognizing that a life of fear and hiding is far more dangerous than the risk of appearing vulnerable to a predator.,"True wealth is found in the value of the present moment, not in hoarding what one cannot truly possess.","True wisdom lies not in the material strength of a wall, but in the flexibility and adaptability of the mind to withstand any challenge."
qwen3.5-2b / cot,"A slave named Androcles once escaped from his master and fled to the forest. As he was wandering about there he came upon a Lion lying down moaning and groaning. At first he turned to flee, but finding that the Lion did not pursue him, he turned back and went up to him. As he came near, the Lion put out his paw, which was all swollen and bleeding","The Ant was too proud to appreciate the beauty of the butterfly, and its arrogance led to its own destruction.","The Grasshopper enjoyed the summer but neglected to save for winter, while the Ant prepared for the future by working hard.","The Traveler hired an Ass to carry him, but the heat made the animal seek shade under the owner's shadow, leading to a dispute over who owned the shade. When the fight broke out, the animal ran away.","The Avaricious man gained wealth but lost his neighbor's joy, while the Envious man gained nothing but destroyed his own sight.","The Cat, fearing for her life, pretended to be dead to lure the mice out of their holes, but the mice wisely refused to come near her.","The fable tells of a countryman who finds a golden egg in a goose's nest, initially believing it to be a trick, only to discover it is real gold. He sells the eggs to become wealthy, but when he tries to take the goose to sell it, he kills it and finds nothing inside. The story warns against greed and the danger of trusting appearances over reality.","The fable illustrates how different materials and approaches to defense yield vastly different results, with leather being the most effective against an enemy."
qwen3.5-2b / few_shot,Kindness overcomes cruelty when the cruel are trapped by their own actions.,Pride blinds us to the beauty of others.,Procrastination leads to poverty.,Ambition blinds us to the value of what we have.,Ambition and envy destroy the happiness of the self.,Vanity makes us easy prey for flatterers.,Greed blinds us to the value of what we seek.,Vanity makes us easy prey for flatterers.
qwen3.5-4b / direct,"Kindness to others, even those seemingly different, is repaid with loyalty and friendship.",Pride in temporary freedom blinds one to the true value of potential.,Planning ahead and working hard during good times ensures survival when hard times come.,It is better to avoid disputes over things that cannot be taken away.,Greed and envy inevitably lead to greater suffering than the desire for personal gain.,"Even when you are in a desperate situation, you should not trust those who have previously betrayed you.",Hasty greed often destroys the very source of one's wealth.,Everyone has a different perspective on the same problem.
qwen3.5-4b / detailed,"True kindness toward others, even those seemingly different, creates an enduring bond of mutual recognition and gratitude that transcends circumstance.","True freedom is not merely the ability to move about, but the capacity to rise above one's circumstances and transcend limitations.",Procrastination and the neglect of future security inevitably lead to suffering when present abundance cannot sustain life through hardship.,Fighting over a shadow that cannot be owned or possessed is a futile struggle that ultimately leads to losing the very thing you sought to protect.,Greed and envy inevitably lead to self-destruction by twisting one's desires into instruments of suffering.,True confidence in one's own safety renders external threats irrelevant.,"Patience and contentment with gradual, steady rewards are far more valuable than the desperate desire for immediate, all-at-once gain.",Focusing on a single aspect of a complex problem while ignoring the needs of others leads to a failure to address the whole.
qwen3.5-4b / cot,"Kindness to others, even those who seem different, is repaid with kindness.","The moral of the story is that true freedom and potential are not defined by current limitations or appearances, but by the transformative power of time and nature.",It is better to prepare for the future than to indulge in present pleasures.,It is better to have a friend than a shadow.,The moral of this fable is that greed and envy inevitably lead to greater suffering and ruin.,"Even when you are in a desperate situation, you should not lose your sense of caution.",The moral of the story is that greed can destroy one's happiness and fortune.,"The story illustrates how different individuals, each with their own expertise, focus on a single aspect of a complex problem while ignoring the need for a comprehensive solution. The Bricklayer, Carpenter, and Currier each offer a valid point in isolation, but none provide a complete defense strategy for the besieged city. The moral warns against the folly of arguing over partial solutions when a unified, all-encompassing"
qwen3.5-4b / few_shot,"Kindness to others, even the most powerful, is repaid with loyalty.",Pride blinds us to the hidden potential of others.,Preparation for the future ensures survival when abundance fades.,A useless possession is worth more than a useless argument.,Greed and envy lead only to greater suffering.,Deceit is often more dangerous than open force.,Haste and greed often destroy the very source of one's wealth.,Specialized expertise often overlooks the value of diverse perspectives.
qwen3.5-9b / direct,Kindness to others in their time of need is often rewarded when you are in need yourself.,"True worth is not found in the freedom to move at will, but in the potential to transcend one's current limitations.",Prepare for the future while you have the chance.,Disputing over trivial matters can cause you to lose what truly matters.,Greed and envy only multiply one's own misery while destroying the happiness of others.,"Appearances can be deceptive, and one should never trust an enemy who feigns weakness.",Greed often destroys the very fortune one seeks to possess.,Everyone should listen to others before insisting on their own expertise.
qwen3.5-9b / detailed,Kindness shown in times of need creates a bond of loyalty that can save one from future peril.,"True freedom is not found in the ability to move one's limbs, but in the capacity to transcend physical limitations and soar above the mundane world.","Provisioning for future hardships through diligent preparation is essential for survival, whereas neglecting long-term security in favor of immediate pleasure leads to inevitable suffering.",Disputing over the shadow of a benefit while neglecting the benefit itself results in the loss of both.,True contentment is impossible when one's happiness is contingent upon another's misfortune or deprivation.,"True courage is not merely the absence of fear, but the willingness to face danger despite the instinct to flee.",Greed destroys the very source of one's prosperity.,Specialized expertise often blinds individuals to the broader necessity of unity and diverse contributions in the face of common threats.
qwen3.5-9b / cot,"Kindness to others, even in their time of need, is never wasted and will often return to benefit the giver when they are in trouble.","The Ant judged the Chrysalis by its current limitations, mocking its inability to move freely, yet failed to recognize that the Chrysalis was undergoing a transformation that would grant it far superior freedom and perspective. The story illustrates the danger of judging others based solely on their present circumstances without understanding their potential or future state.",It is better to work hard and prepare for the future than to indulge in present pleasures without planning.,"The story illustrates a situation where two individuals, a traveler and an ass owner, become so engrossed in a petty argument over the rights to the shade of the ass that they physically fight. While they are distracted by this trivial dispute, the actual value of their agreement—the ass itself—escapes their control. The narrative warns against allowing minor disagreements to escalate into conflicts that cause the loss of something",Greed and envy are self,"True courage is not merely the absence of fear, but the willingness to face danger despite it.",Greed often leads to the loss of what one already possesses.,"The moral of the story is that when people are united by a common danger but divided by their own self-interest, they can never agree on a plan for their safety."
qwen3.5-9b / few_shot,Kindness to others in their time of need often returns to save us in our own.,"Arrogance blinds us to the true value of others, and those who mock hidden potential often find themselves overshadowed by the very beings they despised.",Procrastination and lack of preparation lead to suffering when hardship arrives.,Disputes over trivial matters can lead to the loss of what truly matters.,Greed and envy are self-destructive desires that ultimately harm the possessor more than the object of their longing.,"True courage is not the absence of fear, but the willingness to face danger despite it.",Greed destroys the very source of one's prosperity.,Self-interest blinds us to the common good.
